"","Genome_ID","Count","Integron_type","Genus_rev"
"75","G_1230667",1,"complete","Other"
"76","G_1230696",1,"complete","Other"
"77","G_1230696",0,"In0","Other"
"78","G_1230696",2,"CALIN","Other"
"79","G_1230714",1,"complete","Other"
"80","G_1230714",1,"CALIN","Other"
"81","G_1230714",0,"In0","Other"
"82","G_1230733",3,"CALIN","Other"
"83","G_1230733",1,"complete","Other"
"84","G_1230733",0,"In0","Other"
"85","G_1230750",2,"CALIN","Other"
"86","G_1230750",0,"In0","Other"
"87","G_1230750",1,"complete","Other"
"88","G_1231322",10,"CALIN","Other"
"89","G_1231322",3,"complete","Other"
"90","G_1231322",1,"In0","Other"
"91","G_1231522",0,"complete","Other"
"92","G_1231522",1,"CALIN","Other"
"93","G_1231522",2,"In0","Other"
"94","G_1231528",1,"CALIN","Other"
"95","G_1231528",1,"CALIN","Other"
"96","G_1231528",1,"complete","Other"
"97","G_1231528",1,"complete","Other"
"98","G_1231528",3,"In0","Other"
"99","G_1231528",3,"In0","Other"
"100","G_1231564",0,"CALIN","Vibrio"
"101","G_1231564",1,"In0","Vibrio"
"102","G_1231564",0,"complete","Vibrio"
"103","G_1231566",0,"complete","Vibrio"
"104","G_1231566",11,"CALIN","Vibrio"
"105","G_1231566",1,"In0","Vibrio"
"106","G_1231567",1,"complete","Vibrio"
"107","G_1231567",1,"In0","Vibrio"
"108","G_1231567",2,"CALIN","Vibrio"
"109","G_1231573",1,"In0","Vibrio"
"110","G_1231573",0,"complete","Vibrio"
"111","G_1231573",1,"CALIN","Vibrio"
"112","G_1231583",0,"CALIN","Vibrio"
"113","G_1231583",1,"complete","Vibrio"
"114","G_1231583",0,"In0","Vibrio"
"115","G_1231586",0,"CALIN","Vibrio"
"116","G_1231586",1,"complete","Vibrio"
"117","G_1231586",0,"In0","Vibrio"
"118","G_1231591",1,"complete","Vibrio"
"119","G_1231591",1,"complete","Vibrio"
"120","G_1231591",1,"In0","Vibrio"
"121","G_1231591",1,"In0","Vibrio"
"122","G_1231591",6,"CALIN","Vibrio"
"123","G_1231591",6,"CALIN","Vibrio"
"124","G_1231593",0,"complete","Vibrio"
"125","G_1231593",1,"In0","Vibrio"
"126","G_1231593",30,"CALIN","Vibrio"
"127","G_1231597",0,"In0","Vibrio"
"128","G_1231597",23,"CALIN","Vibrio"
"129","G_1231597",1,"complete","Vibrio"
"130","G_1231600",25,"CALIN","Vibrio"
"131","G_1231600",25,"CALIN","Vibrio"
"132","G_1231600",1,"complete","Vibrio"
"133","G_1231600",1,"complete","Vibrio"
"134","G_1231600",0,"In0","Vibrio"
"135","G_1231600",0,"In0","Vibrio"
"136","G_1231609",1,"CALIN","Vibrio"
"137","G_1231609",0,"complete","Vibrio"
"138","G_1231609",1,"In0","Vibrio"
"139","G_1231615",0,"complete","Vibrio"
"140","G_1231615",1,"CALIN","Vibrio"
"141","G_1231615",1,"In0","Vibrio"
"142","G_1231616",0,"complete","Vibrio"
"143","G_1231616",1,"CALIN","Vibrio"
"144","G_1231616",1,"In0","Vibrio"
"145","G_1231620",13,"CALIN","Vibrio"
"146","G_1231620",1,"In0","Vibrio"
"147","G_1231620",0,"complete","Vibrio"
"148","G_1231622",1,"CALIN","Vibrio"
"149","G_1231622",0,"complete","Vibrio"
"150","G_1231622",1,"In0","Vibrio"
"151","G_1231624",0,"complete","Vibrio"
"152","G_1231624",1,"CALIN","Vibrio"
"153","G_1231624",1,"In0","Vibrio"
"154","G_1231630",1,"In0","Vibrio"
"155","G_1231630",0,"complete","Vibrio"
"156","G_1231630",1,"CALIN","Vibrio"
"157","G_1231631",1,"CALIN","Vibrio"
"158","G_1231631",0,"complete","Vibrio"
"159","G_1231631",1,"In0","Vibrio"
"160","G_1231634",42,"CALIN","Vibrio"
"161","G_1231634",0,"In0","Vibrio"
"162","G_1231634",1,"complete","Vibrio"
"163","G_1231643",1,"CALIN","Vibrio"
"164","G_1231643",0,"In0","Vibrio"
"165","G_1231643",1,"complete","Vibrio"
"166","G_1231659",1,"In0","Vibrio"
"167","G_1231659",0,"complete","Vibrio"
"168","G_1231659",10,"CALIN","Vibrio"
"169","G_1231662",1,"complete","Vibrio"
"170","G_1231662",6,"CALIN","Vibrio"
"171","G_1231662",0,"In0","Vibrio"
"172","G_1231697",11,"CALIN","Vibrio"
"173","G_1231697",1,"In0","Vibrio"
"174","G_1231697",0,"complete","Vibrio"
"175","G_1231706",11,"CALIN","Vibrio"
"176","G_1231706",1,"In0","Vibrio"
"177","G_1231706",0,"complete","Vibrio"
"178","G_1231710",21,"CALIN","Vibrio"
"179","G_1231710",1,"In0","Vibrio"
"180","G_1231710",0,"complete","Vibrio"
"181","G_1231715",0,"complete","Vibrio"
"182","G_1231715",50,"CALIN","Vibrio"
"183","G_1231715",1,"In0","Vibrio"
"184","G_1231723",5,"CALIN","Vibrio"
"185","G_1231723",1,"In0","Vibrio"
"186","G_1231723",0,"complete","Vibrio"
"187","G_1231725",12,"CALIN","Vibrio"
"188","G_1231725",0,"In0","Vibrio"
"189","G_1231725",1,"complete","Vibrio"
"190","G_1231726",12,"CALIN","Vibrio"
"191","G_1231726",0,"In0","Vibrio"
"192","G_1231726",1,"complete","Vibrio"
"193","G_1231728",1,"In0","Vibrio"
"194","G_1231728",0,"complete","Vibrio"
"195","G_1231728",1,"CALIN","Vibrio"
"196","G_1231729",6,"CALIN","Other"
"197","G_1231729",2,"complete","Other"
"198","G_1231729",1,"In0","Other"
"199","G_1231733",0,"CALIN","Vibrio"
"200","G_1231733",0,"In0","Vibrio"
"201","G_1231733",1,"complete","Vibrio"
"202","G_1231740",10,"CALIN","Vibrio"
"203","G_1231740",1,"In0","Vibrio"
"204","G_1231740",0,"complete","Vibrio"
"205","G_1231743",1,"In0","Vibrio"
"206","G_1231743",0,"complete","Vibrio"
"207","G_1231743",11,"CALIN","Vibrio"
"208","G_1231749",1,"complete","Vibrio"
"209","G_1231749",0,"In0","Vibrio"
"210","G_1231749",23,"CALIN","Vibrio"
"211","G_1231755",0,"In0","Vibrio"
"212","G_1231755",6,"CALIN","Vibrio"
"213","G_1231755",1,"complete","Vibrio"
"214","G_1231759",0,"complete","Vibrio"
"215","G_1231759",1,"In0","Vibrio"
"216","G_1231759",11,"CALIN","Vibrio"
"217","G_1231760",1,"In0","Vibrio"
"218","G_1231760",10,"CALIN","Vibrio"
"219","G_1231760",0,"complete","Vibrio"
"220","G_1231762",2,"complete","Vibrio"
"221","G_1231762",0,"In0","Vibrio"
"222","G_1231762",2,"CALIN","Vibrio"
"223","G_1231766",0,"In0","Vibrio"
"224","G_1231766",1,"CALIN","Vibrio"
"225","G_1231766",1,"complete","Vibrio"
"226","G_1231769",1,"complete","Vibrio"
"227","G_1231769",0,"In0","Vibrio"
"228","G_1231769",8,"CALIN","Vibrio"
"229","G_1231783",1,"In0","Vibrio"
"230","G_1231783",0,"complete","Vibrio"
"231","G_1231783",2,"CALIN","Vibrio"
"232","G_1231787",1,"complete","Vibrio"
"233","G_1231787",0,"In0","Vibrio"
"234","G_1231787",12,"CALIN","Vibrio"
"235","G_1231791",0,"In0","Vibrio"
"236","G_1231791",1,"complete","Vibrio"
"237","G_1231791",5,"CALIN","Vibrio"
"238","G_1231792",1,"complete","Vibrio"
"239","G_1231792",9,"CALIN","Vibrio"
"240","G_1231792",0,"In0","Vibrio"
"241","G_1231797",1,"complete","Vibrio"
"242","G_1231797",1,"complete","Vibrio"
"243","G_1231797",3,"CALIN","Vibrio"
"244","G_1231797",3,"CALIN","Vibrio"
"245","G_1231797",0,"In0","Vibrio"
"246","G_1231797",0,"In0","Vibrio"
"247","G_1231799",1,"complete","Vibrio"
"248","G_1231799",0,"In0","Vibrio"
"249","G_1231799",0,"CALIN","Vibrio"
"250","G_1231802",1,"complete","Vibrio"
"251","G_1231802",0,"In0","Vibrio"
"252","G_1231802",0,"CALIN","Vibrio"
"253","G_1231803",0,"In0","Vibrio"
"254","G_1231803",4,"CALIN","Vibrio"
"255","G_1231803",1,"complete","Vibrio"
"256","G_1231814",0,"In0","Vibrio"
"257","G_1231814",0,"In0","Vibrio"
"258","G_1231814",1,"CALIN","Vibrio"
"259","G_1231814",1,"CALIN","Vibrio"
"260","G_1231814",1,"complete","Vibrio"
"261","G_1231814",1,"complete","Vibrio"
"262","G_1231818",0,"complete","Vibrio"
"263","G_1231818",0,"complete","Vibrio"
"264","G_1231818",4,"CALIN","Vibrio"
"265","G_1231818",4,"CALIN","Vibrio"
"266","G_1231818",1,"In0","Vibrio"
"267","G_1231818",1,"In0","Vibrio"
"268","G_1231825",1,"complete","Vibrio"
"269","G_1231825",3,"CALIN","Vibrio"
"270","G_1231825",0,"In0","Vibrio"
"271","G_1231829",0,"complete","Vibrio"
"272","G_1231829",8,"CALIN","Vibrio"
"273","G_1231829",1,"In0","Vibrio"
"274","G_1231833",0,"complete","Vibrio"
"275","G_1231833",6,"CALIN","Vibrio"
"276","G_1231833",1,"In0","Vibrio"
"277","G_1231835",1,"In0","Vibrio"
"278","G_1231835",0,"complete","Vibrio"
"279","G_1231835",5,"CALIN","Vibrio"
"280","G_1231837",1,"complete","Vibrio"
"281","G_1231837",9,"CALIN","Vibrio"
"282","G_1231837",0,"In0","Vibrio"
"283","G_1231841",1,"In0","Vibrio"
"284","G_1231841",0,"complete","Vibrio"
"285","G_1231841",1,"CALIN","Vibrio"
"286","G_1231842",1,"complete","Vibrio"
"287","G_1231842",20,"CALIN","Vibrio"
"288","G_1231842",0,"In0","Vibrio"
"289","G_1231846",0,"CALIN","Vibrio"
"290","G_1231846",1,"complete","Vibrio"
"291","G_1231846",0,"In0","Vibrio"
"292","G_1231853",12,"CALIN","Vibrio"
"293","G_1231853",0,"In0","Vibrio"
"294","G_1231853",1,"complete","Vibrio"
"295","G_1231858",0,"In0","Vibrio"
"296","G_1231858",1,"complete","Vibrio"
"297","G_1231858",9,"CALIN","Vibrio"
"298","G_1231860",1,"complete","Vibrio"
"299","G_1231860",2,"CALIN","Vibrio"
"300","G_1231860",0,"In0","Vibrio"
"301","G_1231867",1,"complete","Other"
"302","G_1231867",1,"CALIN","Other"
"303","G_1231867",0,"In0","Other"
"304","G_1231870",1,"CALIN","Vibrio"
"305","G_1231870",1,"In0","Vibrio"
"306","G_1231870",0,"complete","Vibrio"
"307","G_1231873",21,"CALIN","Vibrio"
"308","G_1231873",1,"In0","Vibrio"
"309","G_1231873",0,"complete","Vibrio"
"310","G_1231889",1,"complete","Vibrio"
"311","G_1231889",0,"CALIN","Vibrio"
"312","G_1231889",0,"In0","Vibrio"
"313","G_1231894",0,"complete","Vibrio"
"314","G_1231894",8,"CALIN","Vibrio"
"315","G_1231894",1,"In0","Vibrio"
"316","G_1231903",0,"CALIN","Vibrio"
"317","G_1231903",0,"In0","Vibrio"
"318","G_1231903",1,"complete","Vibrio"
"319","G_1231904",3,"CALIN","Vibrio"
"320","G_1231904",0,"In0","Vibrio"
"321","G_1231904",1,"complete","Vibrio"
"322","G_1231906",0,"In0","Vibrio"
"323","G_1231906",1,"complete","Vibrio"
"324","G_1231906",0,"CALIN","Vibrio"
"325","G_1231933",1,"complete","Vibrio"
"326","G_1231933",3,"CALIN","Vibrio"
"327","G_1231933",0,"In0","Vibrio"
"328","G_1231938",1,"CALIN","Vibrio"
"329","G_1231938",0,"complete","Vibrio"
"330","G_1231938",0,"In0","Vibrio"
"331","G_1231940",8,"CALIN","Vibrio"
"332","G_1231940",0,"In0","Vibrio"
"333","G_1231940",1,"complete","Vibrio"
"334","G_1231946",1,"In0","Vibrio"
"335","G_1231946",0,"complete","Vibrio"
"336","G_1231946",14,"CALIN","Vibrio"
"337","G_1231948",0,"complete","Vibrio"
"338","G_1231948",1,"In0","Vibrio"
"339","G_1231948",1,"CALIN","Vibrio"
"340","G_1231949",1,"complete","Vibrio"
"341","G_1231949",3,"CALIN","Vibrio"
"342","G_1231949",0,"In0","Vibrio"
"343","G_1231955",2,"CALIN","Vibrio"
"344","G_1231955",1,"complete","Vibrio"
"345","G_1231955",0,"In0","Vibrio"
"346","G_1231987",0,"In0","Vibrio"
"347","G_1231987",6,"CALIN","Vibrio"
"348","G_1231987",1,"complete","Vibrio"
"349","G_1232010",0,"complete","Vibrio"
"350","G_1232010",1,"In0","Vibrio"
"351","G_1232010",2,"CALIN","Vibrio"
"352","G_1232016",1,"complete","Vibrio"
"353","G_1232016",5,"CALIN","Vibrio"
"354","G_1232016",0,"In0","Vibrio"
"355","G_1232019",16,"CALIN","Vibrio"
"356","G_1232019",1,"complete","Vibrio"
"357","G_1232019",0,"In0","Vibrio"
"358","G_1232021",0,"In0","Vibrio"
"359","G_1232021",0,"CALIN","Vibrio"
"360","G_1232021",1,"complete","Vibrio"
"361","G_1232022",0,"In0","Vibrio"
"362","G_1232022",1,"complete","Vibrio"
"363","G_1232022",6,"CALIN","Vibrio"
"364","G_1232040",0,"In0","Vibrio"
"365","G_1232040",0,"In0","Vibrio"
"366","G_1232040",1,"complete","Vibrio"
"367","G_1232040",1,"complete","Vibrio"
"368","G_1232040",9,"CALIN","Vibrio"
"369","G_1232040",9,"CALIN","Vibrio"
"370","G_1232053",1,"complete","Other"
"371","G_1232053",11,"CALIN","Other"
"372","G_1232053",0,"In0","Other"
"373","G_1232070",4,"CALIN","Vibrio"
"374","G_1232070",0,"In0","Vibrio"
"375","G_1232070",1,"complete","Vibrio"
"376","G_1232072",0,"In0","Vibrio"
"377","G_1232072",1,"complete","Vibrio"
"378","G_1232072",5,"CALIN","Vibrio"
"379","G_1232075",0,"In0","Vibrio"
"380","G_1232075",1,"complete","Vibrio"
"381","G_1232075",18,"CALIN","Vibrio"
"382","G_1232077",0,"complete","Vibrio"
"383","G_1232077",1,"In0","Vibrio"
"384","G_1232077",11,"CALIN","Vibrio"
"385","G_1232080",7,"CALIN","Vibrio"
"386","G_1232080",1,"complete","Vibrio"
"387","G_1232080",0,"In0","Vibrio"
"388","G_1232087",8,"CALIN","Vibrio"
"389","G_1232087",0,"In0","Vibrio"
"390","G_1232087",1,"complete","Vibrio"
"391","G_1232090",4,"CALIN","Vibrio"
"392","G_1232090",0,"In0","Vibrio"
"393","G_1232090",1,"complete","Vibrio"
"394","G_1232100",1,"CALIN","Vibrio"
"395","G_1232100",1,"complete","Vibrio"
"396","G_1232100",0,"In0","Vibrio"
"397","G_1232104",0,"CALIN","Vibrio"
"398","G_1232104",1,"complete","Vibrio"
"399","G_1232104",0,"In0","Vibrio"
"400","G_1232114",3,"CALIN","Vibrio"
"401","G_1232114",0,"In0","Vibrio"
"402","G_1232114",1,"complete","Vibrio"
"403","G_1232131",4,"CALIN","Vibrio"
"404","G_1232131",0,"In0","Vibrio"
"405","G_1232131",1,"complete","Vibrio"
"406","G_1232136",0,"In0","Vibrio"
"407","G_1232136",0,"CALIN","Vibrio"
"408","G_1232136",1,"complete","Vibrio"
"409","G_1232139",1,"complete","Vibrio"
"410","G_1232139",0,"CALIN","Vibrio"
"411","G_1232139",0,"In0","Vibrio"
"412","G_1232159",1,"In0","Vibrio"
"413","G_1232159",0,"complete","Vibrio"
"414","G_1232159",12,"CALIN","Vibrio"
"415","G_1232165",0,"In0","Vibrio"
"416","G_1232165",28,"CALIN","Vibrio"
"417","G_1232165",1,"complete","Vibrio"
"418","G_1232167",25,"CALIN","Other"
"419","G_1232167",0,"In0","Other"
"420","G_1232167",1,"complete","Other"
"421","G_1232234",1,"complete","Vibrio"
"422","G_1232234",29,"CALIN","Vibrio"
"423","G_1232234",0,"In0","Vibrio"
"424","G_1232260",0,"complete","Vibrio"
"425","G_1232260",1,"In0","Vibrio"
"426","G_1232260",24,"CALIN","Vibrio"
"427","G_1232276",1,"In0","Vibrio"
"428","G_1232276",27,"CALIN","Vibrio"
"429","G_1232276",0,"complete","Vibrio"
"430","G_1232281",0,"In0","Vibrio"
"431","G_1232281",10,"CALIN","Vibrio"
"432","G_1232281",1,"complete","Vibrio"
"433","G_1232286",25,"CALIN","Vibrio"
"434","G_1232286",0,"complete","Vibrio"
"435","G_1232286",1,"In0","Vibrio"
"436","G_1232287",1,"complete","Vibrio"
"437","G_1232287",0,"In0","Vibrio"
"438","G_1232287",8,"CALIN","Vibrio"
"439","G_1232293",1,"In0","Vibrio"
"440","G_1232293",1,"In0","Vibrio"
"441","G_1232293",41,"CALIN","Vibrio"
"442","G_1232293",41,"CALIN","Vibrio"
"443","G_1232293",0,"complete","Vibrio"
"444","G_1232293",0,"complete","Vibrio"
"445","G_1232305",0,"In0","Vibrio"
"446","G_1232305",34,"CALIN","Vibrio"
"447","G_1232305",1,"complete","Vibrio"
"448","G_1232310",26,"CALIN","Vibrio"
"449","G_1232310",0,"In0","Vibrio"
"450","G_1232310",1,"complete","Vibrio"
"451","G_1232319",1,"complete","Vibrio"
"452","G_1232319",1,"complete","Vibrio"
"453","G_1232319",2,"CALIN","Vibrio"
"454","G_1232319",2,"CALIN","Vibrio"
"455","G_1232319",0,"In0","Vibrio"
"456","G_1232319",0,"In0","Vibrio"
"457","G_1232322",0,"In0","Vibrio"
"458","G_1232322",1,"complete","Vibrio"
"459","G_1232322",29,"CALIN","Vibrio"
"460","G_1232326",0,"In0","Vibrio"
"461","G_1232326",0,"CALIN","Vibrio"
"462","G_1232326",1,"complete","Vibrio"
"463","G_1232336",6,"CALIN","Vibrio"
"464","G_1232336",0,"In0","Vibrio"
"465","G_1232336",1,"complete","Vibrio"
"466","G_1232341",0,"complete","Vibrio"
"467","G_1232341",1,"In0","Vibrio"
"468","G_1232341",3,"CALIN","Vibrio"
"469","G_1232342",0,"complete","Vibrio"
"470","G_1232342",1,"CALIN","Vibrio"
"471","G_1232342",1,"In0","Vibrio"
"472","G_1232344",5,"CALIN","Vibrio"
"473","G_1232344",1,"complete","Vibrio"
"474","G_1232344",0,"In0","Vibrio"
"475","G_1232345",2,"CALIN","Vibrio"
"476","G_1232345",1,"In0","Vibrio"
"477","G_1232345",0,"complete","Vibrio"
"478","G_1232351",73,"CALIN","Vibrio"
"479","G_1232351",1,"complete","Vibrio"
"480","G_1232351",0,"In0","Vibrio"
"481","G_1232353",0,"complete","Vibrio"
"482","G_1232353",34,"CALIN","Vibrio"
"483","G_1232353",1,"In0","Vibrio"
"484","G_1232354",34,"CALIN","Vibrio"
"485","G_1232354",1,"complete","Vibrio"
"486","G_1232354",0,"In0","Vibrio"
"487","G_1232358",0,"CALIN","Vibrio"
"488","G_1232358",0,"In0","Vibrio"
"489","G_1232358",1,"complete","Vibrio"
"490","G_1232429",1,"In0","Vibrio"
"491","G_1232429",1,"In0","Vibrio"
"492","G_1232429",0,"complete","Vibrio"
"493","G_1232429",0,"complete","Vibrio"
"494","G_1232429",18,"CALIN","Vibrio"
"495","G_1232429",18,"CALIN","Vibrio"
"496","G_1232466",1,"complete","Vibrio"
"497","G_1232466",0,"In0","Vibrio"
"498","G_1232466",0,"CALIN","Vibrio"
"499","G_1232507",0,"In0","Vibrio"
"500","G_1232507",1,"complete","Vibrio"
"501","G_1232507",10,"CALIN","Vibrio"
"502","G_1232517",1,"In0","Vibrio"
"503","G_1232517",2,"CALIN","Vibrio"
"504","G_1232517",0,"complete","Vibrio"
"505","G_1232526",4,"CALIN","Vibrio"
"506","G_1232526",1,"complete","Vibrio"
"507","G_1232526",0,"In0","Vibrio"
"508","G_1232532",1,"complete","Vibrio"
"509","G_1232532",0,"In0","Vibrio"
"510","G_1232532",5,"CALIN","Vibrio"
"511","G_1232534",0,"complete","Vibrio"
"512","G_1232534",1,"In0","Vibrio"
"513","G_1232534",2,"CALIN","Vibrio"
"514","G_1232607",1,"In0","Vibrio"
"515","G_1232607",4,"CALIN","Vibrio"
"516","G_1232607",0,"complete","Vibrio"
"517","G_1233359",0,"In0","Vibrio"
"518","G_1233359",19,"CALIN","Vibrio"
"519","G_1233359",1,"complete","Vibrio"
"520","G_1233383",17,"CALIN","Vibrio"
"521","G_1233383",1,"complete","Vibrio"
"522","G_1233383",0,"In0","Vibrio"
"523","G_1233428",1,"complete","Vibrio"
"524","G_1233428",19,"CALIN","Vibrio"
"525","G_1233428",0,"In0","Vibrio"
"526","G_1233444",1,"In0","Vibrio"
"527","G_1233444",0,"complete","Vibrio"
"528","G_1233444",27,"CALIN","Vibrio"
"529","G_1233765",17,"CALIN","Vibrio"
"530","G_1233765",0,"In0","Vibrio"
"531","G_1233765",1,"complete","Vibrio"
"532","G_1233794",17,"CALIN","Vibrio"
"533","G_1233794",0,"In0","Vibrio"
"534","G_1233794",1,"complete","Vibrio"
"535","G_1233798",1,"complete","Vibrio"
"536","G_1233798",19,"CALIN","Vibrio"
"537","G_1233798",0,"In0","Vibrio"
"538","G_1233810",0,"In0","Vibrio"
"539","G_1233810",1,"complete","Vibrio"
"540","G_1233810",19,"CALIN","Vibrio"
"541","G_1233811",0,"In0","Vibrio"
"542","G_1233811",18,"CALIN","Vibrio"
"543","G_1233811",1,"complete","Vibrio"
"544","G_1233812",20,"CALIN","Vibrio"
"545","G_1233812",1,"complete","Vibrio"
"546","G_1233812",0,"In0","Vibrio"
"547","G_1233823",17,"CALIN","Vibrio"
"548","G_1233823",1,"complete","Vibrio"
"549","G_1233823",0,"In0","Vibrio"
"550","G_1233825",1,"complete","Vibrio"
"551","G_1233825",0,"In0","Vibrio"
"552","G_1233825",16,"CALIN","Vibrio"
"553","G_1233844",1,"complete","Vibrio"
"554","G_1233844",0,"In0","Vibrio"
"555","G_1233844",23,"CALIN","Vibrio"
"556","G_1233857",13,"CALIN","Vibrio"
"557","G_1233857",0,"complete","Vibrio"
"558","G_1233857",1,"In0","Vibrio"
"559","G_1233874",0,"CALIN","Vibrio"
"560","G_1233874",1,"complete","Vibrio"
"561","G_1233874",0,"In0","Vibrio"
"562","G_1234809",12,"CALIN","Vibrio"
"563","G_1234809",1,"complete","Vibrio"
"564","G_1234809",0,"In0","Vibrio"
"565","G_1235560",1,"complete","Vibrio"
"566","G_1235560",0,"In0","Vibrio"
"567","G_1235560",17,"CALIN","Vibrio"
"568","G_1236236",17,"CALIN","Vibrio"
"569","G_1236236",0,"In0","Vibrio"
"570","G_1236236",1,"complete","Vibrio"
"571","G_1236295",24,"CALIN","Vibrio"
"572","G_1236295",1,"complete","Vibrio"
"573","G_1236295",0,"In0","Vibrio"
"574","G_1236372",20,"CALIN","Vibrio"
"575","G_1236372",0,"complete","Vibrio"
"576","G_1236372",1,"In0","Vibrio"
"577","G_1236386",1,"complete","Vibrio"
"578","G_1236386",0,"In0","Vibrio"
"579","G_1236386",17,"CALIN","Vibrio"
"580","G_1237353",0,"In0","Vibrio"
"581","G_1237353",23,"CALIN","Vibrio"
"582","G_1237353",1,"complete","Vibrio"
"583","G_1237394",37,"CALIN","Vibrio"
"584","G_1237394",0,"complete","Vibrio"
"585","G_1237394",1,"In0","Vibrio"
"586","G_1237420",65,"CALIN","Vibrio"
"587","G_1237420",0,"complete","Vibrio"
"588","G_1237420",1,"In0","Vibrio"
"589","G_1237422",0,"complete","Vibrio"
"590","G_1237422",0,"complete","Vibrio"
"591","G_1237422",1,"In0","Vibrio"
"592","G_1237422",1,"In0","Vibrio"
"593","G_1237422",38,"CALIN","Vibrio"
"594","G_1237422",38,"CALIN","Vibrio"
"595","G_1237496",1,"complete","Vibrio"
"596","G_1237496",0,"In0","Vibrio"
"597","G_1237496",15,"CALIN","Vibrio"
"598","G_1237536",1,"In0","Vibrio"
"599","G_1237536",0,"complete","Vibrio"
"600","G_1237536",1,"CALIN","Vibrio"
"601","G_1237549",1,"In0","Vibrio"
"602","G_1237549",1,"In0","Vibrio"
"603","G_1237549",0,"complete","Vibrio"
"604","G_1237549",0,"complete","Vibrio"
"605","G_1237549",31,"CALIN","Vibrio"
"606","G_1237549",31,"CALIN","Vibrio"
"607","G_1237571",1,"complete","Vibrio"
"608","G_1237571",2,"CALIN","Vibrio"
"609","G_1237571",0,"In0","Vibrio"
"610","G_1237668",0,"complete","Vibrio"
"611","G_1237668",1,"In0","Vibrio"
"612","G_1237668",2,"CALIN","Vibrio"
"613","G_1237671",1,"complete","Vibrio"
"614","G_1237671",1,"complete","Vibrio"
"615","G_1237671",1,"CALIN","Vibrio"
"616","G_1237671",1,"CALIN","Vibrio"
"617","G_1237671",0,"In0","Vibrio"
"618","G_1237671",0,"In0","Vibrio"
"619","G_1237691",0,"complete","Vibrio"
"620","G_1237691",1,"In0","Vibrio"
"621","G_1237691",1,"CALIN","Vibrio"
"622","G_1237724",1,"CALIN","Vibrio"
"623","G_1237724",1,"CALIN","Vibrio"
"624","G_1237724",1,"complete","Vibrio"
"625","G_1237724",1,"complete","Vibrio"
"626","G_1237724",0,"In0","Vibrio"
"627","G_1237724",0,"In0","Vibrio"
"628","G_1237733",1,"complete","Vibrio"
"629","G_1237733",0,"In0","Vibrio"
